"time";"lambda_T";"B"
154;3,08;22,9601433349432
195;3,9;24,4204805094436
379;7,58;12,8475376482012
387;7,74;26,2317499495048
444;8,88;16,871862127156
451;9,02;24,2241591174433
457;9,14;22,2522963596822
47;0,94;38,7190999494546
127;2,54;15,0539061820332
131;2,62;27,9168833024052
163;3,26;23,6555489695585
220;4,4;10,6772593259148
234;4,68;0,586504702818576
301;6,02;5
305;6,1;32,6778013353734
327;6,54;19,3044305974908
183;3,66;27,2630696143395
186;3,72;34,591198060905
214;4,28;12,2364199813708
233;4,66;2,65321176525393
291;5,82;5,91728087461487
309;6,18;26,0178246078928
382;7,64;11,3350661797931
443;8,86;14,2922043612314
459;9,18;23,0282838217055
12;0,24;50,5356071600387
107;2,14;8,60845976942502
145;2,9;4,20285609002994
157;3,14;33,4531995967648
183;3,66;28,3451351424816
190;3,8;29,7780946052282
253;5,06;6,23391761274934
275;5,5;24,1875584668469
418;8,36;24,164596338038
